,cat,transcript_words,transcript_idx,IdSession,ID
737,société,"['enfant', 'maltraitance', 'professionnel', 'abus', 'signalement', 'secret', 'victime', 'moniteur', 'éducateur', 'médiateur']",776,5003,198081
745,logement-territoire,"['circulation', 'traité', 'contrat', 'représaille', 'extension', 'février', 'appartement', 'soir', 'bail', 'recherche']",784,5003,198150
747,politique,"['histoire', 'arrêté', 'abstention', 'préambule', 'occurrence', 'référence', 'février', 'relation', 'peuple', 'cause']",787,5003,198169
749,politique,"['esprit', 'abstention', 'vue', 'amendement', 'endroit', 'extension', 'point', 'circulation', 'arrêté', 'attention']",789,5003,198176
754,société,"['victime', 'injustice', 'coercition', 'réparation', 'foyer', 'souffrance', 'placement', 'maltraité', 'terrible', 'humilié']",794,5003,198221
775,société,"['paternité', 'congé', 'perte', 'apg', 'immeuble', 'présentation', 'versement', 'indemnité', 'imposition', 'régime']",816,5003,198398
783,société,"['adoption', 'enfant', 'parent', 'conjoint', 'descendant', 'vigueur', 'partenariat', 'consentement', 'vie', 'adoptant']",824,5004,198496
784,société,"['enfant', 'adoption', 'filiation', 'parent', 'mariage', 'couple', 'lien', 'partenariat', 'discriminatoire', 'confort']",825,5004,198499
793,société,"['couple', 'mariage', 'enfant', 'union', 'adoption', 'conjoint', 'stabilité', 'institution', 'divorce', 'lien']",834,5004,198565
801,formation-recherche,"['recherche', 'service', 'adoption', 'origine', 'résidence', 'relation', 'gratuite', 'mandater', 'étranger', 'heure']",842,5004,198623
827,immigration,"['réfugié', 'asile', 'statut', 'euro', 'préopinant', 'parcours', 'traité', 'crise', 'nombre', 'flèche']",868,5004,198916
850,extérieur,"['paix', 'négociation', 'processus', 'gouvernement', 'accompagnement', 'démobilisation', 'office', 'réintégration', 'contexte', 'interaction']",891,5004,199309
855,immigration,"['libéralisation', 'visa', 'critère', 'obligation', 'homme', 'immunité', 'réadmission', 'forum', 'dégradation', 'feuille']",896,5004,199313
864,politique,"['ville', 'commune', 'reconnaissance', 'leurre', 'mensonge', 'impôt', 'tâche', 'précédent', 'préavis', 'compétence']",905,5004,199482
869,économie,"['tonnage', 'taxe', 'chargeant', 'excuse', 'opposant', 'remarque', 'formulation', 'milieu', 'occasion', 'conclusion']",910,5004,199514
879,armée-sécurité,"['retard', 'armée', 'aspect', 'point', 'défi', 'personnel', 'contrôle', 'gestion', 'ordre', 'transition']",921,5004,199593
892,santé,"['base', 'interprofessionnalité', 'santé', 'main', 'papier', 'oeuvre', 'jour', 'étude', 'possibilité', 'part']",934,5004,199821
900,formation-recherche,"['participation', 'protocole', 'recherche', 'ratification', 'obstacle', 'critère', 'avenir', 'programme', 'réglementation', 'conditionnalité']",942,5004,200031
917,économie,"['pétition', 'séance', 'entreprise', 'label', 'catalogue', 'certificat', 'famille', 'intervention', 'pénurie', 'novembre']",962,5004,200223
920,formation-recherche,"['formation', 'croissance', 'école', 'recherche', 'innovation', 'message', 'moyen', 'économie', 'décalage', 'encouragement']",965,5004,200265
926,formation-recherche,"['innovation', 'formation', 'recherche', 'croissance', 'économie', 'moyen', 'prioritaire', 'minimum', 'défi', 'sacrifié']",971,5004,200343
936,formation-recherche,"['bilingue', 'décalage', 'langue', 'concept', 'coopération', 'formation', 'message', 'révision', 'faveur', 'fin']",981,5004,200516
941,emploi,"['frontalier', 'indemnisation', 'domicile', 'cotisation', 'mois', 'balance', 'prestation', 'nationalité', 'demandeur', 'résidence']",987,5004,200613
952,emploi,"['mars', 'travail', 'contrat', 'marché', 'type', 'travailleur', 'trouvant', 'abus', 'abstention', 'caractère']",998,5004,200774
955,finance,"['réforme', 'ville', 'compromis', 'déduction', 'sacrifice', 'départ', 'commune', 'entreprise', 'substance', 'société']",1001,5004,200927
962,finance,"['preuve', 'impôt', 'facture', 'facturée', 'chaîne', 'vraisemblance', 'atténuation', 'fardeau', 'préjudice', 'sécurité']",1009,5004,201065
981,agriculture-faune,"['financement', 'vache', 'lait', 'surtaxe', 'huile', 'agglomération', 'centime', 'trafic', 'route', 'partisan']",1029,5004,201339
982,transport,"['financement', 'vignette', 'surtaxe', 'mobilité', 'centime', 'consensus', 'agglomération', 'route', 'rail', 'relèvement']",1030,5004,201354
988,transport,"['filiale', 'rentabilité', 'activité', 'argent', 'étranger', 'affaire', 'chiffre', 'transport', 'épluché', 'croissance']",1036,5004,201485
989,énergie,"['énergie', 'approvisionnement', 'électricité', 'système', 'aménagement', 'étape', 'environnement', 'territoire', 'indigène', 'scepticisme']",1037,5004,201514
993,écologie,"['déchet', 'amende', 'modification', 'environnement', 'abandon', 'protection', 'quart', 'ramassage', 'réfrigérateur', 'quantité']",1041,5004,201586
1006,armée-sécurité,"['altitude', 'drone', 'satellite', 'enjeu', 'surveillance', 'mètre', 'savoir', 'entreprise', 'millier', 'orbite']",1055,5004,201852
1007,immigration,"['frontière', 'contrôle', 'danger', 'sécurité', 'système', 'concitoyen', 'effectif', 'géographe', 'rêveur', 'espace']",1056,5004,201863
1013,immigration,"['procédure', 'ressortissant', 'asile', 'demande', 'heure', 'migration', 'manoeuvre', 'marge', 'objet', 'place']",1062,5004,202013
1016,société,"['allocation', 'lacune', 'enfant', 'parent', 'universalité', 'maternité', 'mère', 'maladie', 'domicile', 'salarié']",1065,5004,202030
1019,immigration,"['autorité', 'prestation', 'échange', 'donnée', 'révocation', 'perception', 'ressortissant', 'séjour', 'actualité', 'exécution']",1068,5004,201932
1037,finance,"['imposition', 'dividende', 'déduction', 'intérêt', 'compromis', 'réforme', 'timbre', 'perte', 'entreprise', 'baisse']",1087,5004,198613
1050,justice,"['infraction', 'casier', 'auteur', 'passé', 'principe', 'société', 'trace', 'prison', 'personnalité', 'enquête']",1100,5004,199074
1051,politique,"['ratification', 'circulation', 'traité', 'protocole', 'recherche', 'condition', 'autorisation', 'référendum', 'conclusion', 'arrêté']",1101,5004,199079
1059,économie,"['ouverture', 'horaire', 'extension', 'commerce', 'fédéralisme', 'heure', 'détriment', 'argument', 'détail', 'reprise']",1109,5004,199377
1089,manifestation-loisirs,"['jeu', 'texte', 'prévention', 'intérêt', 'outil', 'milieu', 'expert', 'objection', 'pesée', 'expertise']",1139,5004,200693
1090,manifestation-loisirs,"['jeu', 'valeur', 'argument', 'réminiscence', 'gain', 'recette', 'fiscalisation', 'ressource', 'cheveu', 'revenu']",1140,5004,200806
1104,justice,"['affaire', 'dossier', 'nombre', 'instance', 'déchargeant', 'justice', 'juge', 'tribunal', 'irrecevabilité', 'décembre']",1154,5004,201231
1134,transport,"['taxi', 'chauffeur', 'véhicule', 'repos', 'tachygraphe', 'heure', 'voiture', 'règle', 'conducteur', 'course']",1186,5005,202513
1149,extérieur,"['objectif', 'avancement', 'priorité', 'développement', 'mise', 'oeuvre', 'paix', 'esprit', 'niveau', 'état']",1201,5005,202750
1153,immigration,"['nationalité', 'loyauté', 'renoncement', 'concours', 'service', 'consulaire', 'coopération', 'double', 'ordonnance', 'raison']",1205,5005,202760
1159,extérieur,"['paix', 'candidature', 'tension', 'fond', 'dialogue', 'engagement', 'forme', 'sécurité', 'mandat', 'consensus']",1211,5005,202840
1166,immigration,"['intégration', 'autorisation', 'établissement', 'convention', 'séjour', 'autorité', 'possibilité', 'critère', 'langue', 'étranger']",1220,5005,203042
1189,économie,"['sanction', 'sein', 'lettre', 'entreprise', 'message', 'note', 'vote', 'biffez', 'dissuasion', 'divergence']",1247,5005,203491
1213,armée-sécurité,"['vol', 'heure', 'structure', 'maintenance', 'permanence', 'assainissement', 'armement', 'appareil', 'prolongation', 'durée']",1271,5005,203597
1215,finance,"['option', 'cercle', 'assujetti', 'version', 'champ', 'approche', 'motif', 'impôt', 'différence', 'application']",1273,5005,203633
1225,société,"['chien', 'morsure', 'détenteur', 'cours', 'émotion', 'réglementation', 'place', 'nombre', 'nom', 'instigation']",1283,5005,203753
1233,armée-sécurité,"['armée', 'cybercriminalité', 'sécurité', 'ennemi', 'somme', 'argent', 'gauche', 'droite', 'terrorisme', 'bourgeoise']",1291,5005,203893
1241,armée-sécurité,"['mortier', 'acquisition', 'cm', 'artillerie', 'trajectoire', 'feu', 'dommage', 'arme', 'mine', 'char']",1299,5005,203915
1254,société,"['tir', 'jeunesse', 'organisation', 'place', 'exercice', 'propriétaire', 'catégorie', 'exception', 'aire', 'utilisateur']",1314,5005,203991
1256,culture-média,"['média', 'information', 'cti', 'presse', 'innovation', 'éditeur', 'qualité', 'révolution', 'journal', 'nzz']",1316,5005,204266
1258,transport,"['tonne', 'essieu', 'trajet', 'camion', 'bois', 'forêt', 'occurrence', 'industrie', 'production', 'étranger']",1318,5005,204267
1263,transport,"['hélicoptère', 'pilote', 'dérogation', 'expérimenté', 'démarche', 'âge', 'gâchis', 'réglementation', 'anniversaire', 'double']",1323,5005,204290
1278,immigration,"['texte', 'séjour', 'immigration', 'explication', 'autorisation', 'exigence', 'réduction', 'étranger', 'cours', 'heure']",1341,5005,204462
1279,immigration,"['ressortissant', 'contingent', 'plafond', 'objectif', 'obtention', 'durcissement', 'perception', 'cercle', 'place', 'nombre']",1342,5005,204473
1299,politique,"['instabilité', 'fraude', 'dirigeant', 'corruption', 'arrivée', 'renseignement', 'pouvoir', 'gouvernement', 'échange', 'affaire']",1362,5005,204707
1303,économie,"['contrôle', 'paquet', 'douane', 'frais', 'destinataire', 'mandat', 'valeur', 'systémique', 'caractère', 'occurrence']",1366,5005,204815
1326,immigration,"['voyage', 'réfugié', 'origine', 'requérant', 'asile', 'document', 'motif', 'titre', 'destination', 'but']",1393,5005,204976
1331,retraite-rentes,"['camp', 'compensation', 'conversion', 'baisse', 'taux', 'pilier', 'concept', 'résultat', 'nom', 'chose']",1398,5005,205036
1334,retraite-rentes,"['pilier', 'concept', 'réforme', 'but', 'prévoyance', 'ensemble', 'chambre', 'dette', 'retraite', 'fractionnement']",1401,5005,205081
1336,retraite-rentes,"['réforme', 'rente', 'retraité', 'femme', 'génération', 'boomer', 'précaire', 'différence', 'revalorisation', 'veuve']",1403,5005,205104
1339,retraite-rentes,"['conversion', 'taux', 'écoutez', 'pilier', 'sai', 'chose', 'écoute', 'souci', 'génération', 'rente']",1407,5005,205120
1341,immigration,"['naturalisation', 'génération', 'parent', 'preuve', 'commune', 'séjour', 'fichier', 'grand', 'enfant', 'document']",1410,5005,205221
1349,politique,"['convention', 'transparence', 'démarche', 'complémentarité', 'arbitrage', 'honneur', 'ratification', 'entreprise', 'regard', 'adoption']",1418,5005,205301
1351,politique,"['département', 'gouvernement', 'collège', 'région', 'allemand', 'version', 'texte', 'membre', 'équilibre', 'soutiendron']",1420,5005,205346
1368,retraite-rentes,"['rente', 'baisse', 'rentier', 'langue', 'somme', 'mécanisme', 'propos', 'intervention', 'compte', 'raison']",1441,5005,205632
1371,retraite-rentes,"['salaire', 'employé', 'pilier', 'rente', 'bonification', 'vieillesse', 'argent', 'cotisation', 'augmentation', 'baisse']",1444,5005,205829
1387,santé,"['médecin', 'patient', 'relation', 'assureur', 'ping', 'partie', 'ménage', 'expression', 'assuré', 'confiance']",1460,5005,206024
1392,santé,"['assurance', 'gain', 'perte', 'indemnité', 'reprise', 'maladie', 'occasion', 'raison', 'rédaction', 'solution']",1465,5005,206046
1400,société,"['racisme', 'compétence', 'intolérance', 'qualité', 'autorité', 'doigt', 'possibilité', 'partie', 'indépendance', 'critique']",1473,5005,206192
1417,emploi,"['noir', 'contrôle', 'force', 'obligation', 'lutte', 'respect', 'violation', 'travail', 'organe', 'instauration']",1490,5005,206253
1431,formation-recherche,"['formation', 'bureaucratie', 'versement', 'comble', 'accès', 'financement', 'détérioration', 'subventionnement', 'prestataire', 'millier']",1505,5005,202547
1448,économie,"['tradition', 'masse', 'mécanisme', 'salaire', 'revendication', 'huile', 'renchérissement', 'audition', 'statistique', 'imposition']",1523,5005,203035
1453,extérieur,"['développement', 'coopération', 'aide', 'pauvreté', 'cohérence', 'faim', 'objectif', 'région', 'requérant', 'coupe']",1528,5005,203312
1459,extérieur,"['vision', 'objectif', 'carcan', 'arrêté', 'revenu', 'vote', 'volonté', 'aide', 'développement', 'vue']",1534,5005,203464
1468,logement-territoire,"['hypothèque', 'risque', 'crédit', 'thématique', 'appui', 'marché', 'zèle', 'territoire', 'passion', 'société']",1543,5005,203758
1480,santé,"['financement', 'provenance', 'réglementation', 'inconvénient', 'clarté', 'solution', 'domicile', 'séjour', 'avantage', 'différence']",1555,5005,204137
1482,santé,"['franchise', 'patient', 'assuré', 'coût', 'montant', 'soin', 'responsabilité', 'santé', 'participation', 'solution']",1557,5005,204258
1489,finance,"['négociation', 'imposition', 'pratique', 'double', 'mandat', 'orientation', 'recommandation', 'oeuvre', 'unanimité', 'difficulté']",1564,5005,204674
1496,économie,"['huile', 'renchérissement', 'divergence', 'unanimité', 'impôt', 'terme', 'automne', 'imposition', 'recette', 'usage']",1571,5005,204997
1504,culture-média,"['média', 'annonceur', 'face', 'indépendance', 'doute', 'part', 'start', 'aide', 'télécommunications', 'soutien']",1579,5005,205147
1512,économie,"['prix', 'ouvrage', 'horaire', 'qualité', 'marché', 'méthode', 'office', 'ingénierie', 'administration', 'taux']",1587,5005,205382
1514,extérieur,"['économie', 'programme', 'aide', 'développement', 'stabilisation', 'crédit', 'effort', 'semaine', 'dépense', 'formation']",1589,5005,205584
1527,justice,"['solution', 'chose', 'dossier', 'nécessité', 'exécution', 'unification', 'impatience', 'drame', 'criminel', 'monde']",1602,5005,206101
1534,finance,"['nombre', 'endettement', 'coupe', 'frein', 'impôt', 'programme', 'imposition', 'renvoi', 'relâchement', 'risque']",1609,5006,206776
1536,finance,"['imposition', 'réforme', 'répétiez', 'entreprise', 'allemand', 'presse', 'campagne', 'finance', 'diminution', 'perte']",1611,5006,206794
1553,politique,"['conférence', 'presse', 'vote', 'ordre', 'bananière', 'république', 'mardi', 'député', 'péril', 'dignité']",1628,5006,206996
1599,immigration,"['séjour', 'titulaire', 'autorisation', 'licenciement', 'ressortissant', 'durée', 'mois', 'prévoit', 'emploi', 'délai']",1681,5006,207770
1650,santé,"['incohérence', 'domicile', 'financement', 'soin', 'prestation', 'fixation', 'compétence', 'assuré', 'liberté', 'patient']",1734,5006,208515
1653,économie,"['pointeur', 'exploitant', 'instruction', 'flash', 'épilation', 'solarium', 'renvoi', 'ultrason', 'lampe', 'liberté']",1737,5006,208669
1659,agriculture-faune,"['fruit', 'raisin', 'boisson', 'kilo', 'addiction', 'adulte', 'responsabilité', 'jour', 'moment']",1743,5006,208683
1664,santé,"['renvoi', 'contenu', 'snu', 'nicotine', 'bref', 'cigarette', 'tabac', 'adhésion', 'publicité', 'retard']",1749,5006,208703
1669,santé,"['franchise', 'coût', 'base', 'assuré', 'assureur', 'assurance', 'prime', 'contrat', 'travail', 'maladie']",1754,5006,208674
1672,économie,"['filiale', 'société', 'bureau', 'prestataire', 'site', 'vente', 'participation', 'production', 'service', 'compte']",1757,5006,208798
1684,retraite-rentes,"['rentier', 'solution', 'réflexion', 'versement', 'souci', 'parallèle', 'compte', 'espèce', 'employé', 'attention']",1769,5006,208839
1687,formation-recherche,"['recherche', 'séquence', 'matin', 'invité', 'milieu', 'plan', 'journal', 'rédaction', 'université', 'immigration']",1773,5006,208908
1705,armée-sécurité,"['sphère', 'individu', 'renseignement', 'slogan', 'information', 'soupçon', 'échange', 'secret', 'parangon', 'orfraie']",1793,5006,209295
