,topic_idx,topic_score,topic_name,cat,transcript_words,topic_words
208,4,0.063,agriculture,santé,"['maladie', 'santé', 'consommation', 'problème', 'désolidarisation', 'fautif', 'dentiste', 'köppel', 'portion', 'dent']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
211,1,0.038,politique,politique,"['assermentation', 'chancelière', 'cérémonie', 'passion', 'membre', 'ouverture', 'participation', 'séance', 'ordre', 'prestation']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
249,5,0.173,finance,finance,"['coupe', 'dépense', 'budget', 'bien', 'diminution', 'office', 'exploitation', 'liste', 'quasi', 'temps']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
261,12,0.085,formation,formation-recherche,"['examen', 'formation', 'cours', 'modification', 'mars', 'contribution', 'cursus', 'financement', 'révision', 'avancement']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
295,1,0.001,politique,politique,"['élection', 'originaire', 'décembre', 'indication', 'publication', 'octobre', 'exercice', 'arrêté', 'liste', 'mandat']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
299,2,0.129,économie,économie,"['achat', 'tourisme', 'heure', 'étranger', 'réglementation', 'législation', 'page', 'message', 'siphon', 'ouverture']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
302,2,0.023,économie,économie,"['tourisme', 'achat', 'magasin', 'compétence', 'perte', 'heure', 'compte', 'samedi', 'ouverture', 'week']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
303,11,0.167,travail,emploi,"['magasin', 'soirée', 'ouverture', 'employé', 'parent', 'journée', 'régater', 'heure', 'employeur', 'industrie']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
322,9,0.127,extérieur,extérieur,"['partenariat', 'région', 'éducation', 'coopération', 'priorité', 'économie', 'migration', 'formation', 'début', 'crise']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
323,1,0.04,politique,extérieur,"['voie', 'étude', 'circulation', 'fond', 'clause', 'esprit', 'originalité', 'concertée', 'solution', 'priorité']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
349,10,1,sécurité,télécommunications,"['donnée', 'télécommunication', 'protection', 'service', 'couleuvre', 'coffre', 'choix', 'vie', 'label', 'patrimoine']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
350,6,0.118,justice,justice,"['amende', 'procédure', 'infraction', 'stupéfiant', 'ordre', 'substance', 'abstention', 'tribunal', 'répressif', 'système']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
356,1,0.182,politique,politique,"['confrère', 'problématique', 'ordonnance', 'ministère', 'risque', 'amende', 'opposition', 'système']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
375,13,0.434,immigration,immigration,"['visa', 'vis', 'empreinte', 'dignitaire', 'consulat', 'franchissement', 'lecteur', 'vignette', 'contrôle', 'autorité']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
377,10,0.047,sécurité,politique,"['information', 'coordination', 'stratégie', 'ère', 'société', 'réexamen', 'numérique', 'renouvellement', 'mise', 'complexité']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
390,3,0.126,société,société,"['meilleur', 'structure', 'quota', 'critère', 'science', 'représentation', 'région', 'sexe', 'coeur', 'innovation']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
394,5,0.141,finance,finance,"['source', 'imposition', 'revenu', 'taxation', 'révision', 'régime', 'résidente', 'exactitude', 'résident', 'frontalier']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
397,5,0.4,finance,finance,"['contribuable', 'mensuel', 'dessein', 'semblant', 'revenu', 'exactitude', 'défaveur', 'talent', 'gré', 'fraude']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
398,17,0.098,autre,finance,"['conférencier', 'sportif', 'forfait', 'artiste', 'catégorie', 'source', 'frais', 'résidente', 'théâtre', 'différenciation']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
401,10,0.246,sécurité,finance,"['convention', 'imposition', 'renseignement', 'échange', 'arbitrage', 'dividende', 'impôt', 'clause', 'intérêt', 'modèle']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
419,4,0.184,agriculture,agriculture-faune,"['production', 'ville', 'page', 'denrée', 'compétiteur', 'importation', 'facteur', 'population', 'agriculture', 'raréfaction']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
421,4,0.188,agriculture,agriculture-faune,"['hectare', 'prix', 'jachère', 'agriculture', 'blé', 'subvention', 'lait', 'production', 'révolte', 'sécurité']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
424,4,0.222,agriculture,agriculture-faune,"['nourriture', 'paysan', 'quantité', 'adressant', 'terme', 'force', 'taux', 'dignement', 'formulaire', 'autoapprovisionnement']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
426,4,0.032,agriculture,agriculture-faune,"['paiement', 'instar', 'hauteur', 'exploitation', 'agriculture', 'prix', 'produit', 'prestation', 'montant', 'population']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
438,12,0.125,formation,retraite-rentes,"['croissance', 'fri', 'recherche', 'formation', 'priorité', 'encouragement', 'innovation', 'relève', 'ressource', 'étudiant']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
453,7,1,armée,armée-sécurité,"['bataillon', 'armée', 'unité', 'carabinier', 'dépôt', 'parti', 'deva', 'élan', 'société', 'soutien']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
457,21,0.403,loisirs,manifestation-loisirs,"['sport', 'garçon', 'fille', 'attrait', 'sexe', 'incitation', 'communication', 'liste', 'impact', 'effort']",sport - jeu - manifestation - élite - casino - joueur - fédération - soutien - club - sportif
472,3,0.282,société,finance,"['quotient', 'concubin', 'texte', 'plaisir', 'modalité', 'système', 'couple', 'parallèle', 'inégalité', 'impôt']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
474,5,0.078,finance,finance,"['imposition', 'système', 'accent', 'évidence', 'octobre', 'consultation', 'résultat']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
487,9,0.091,extérieur,immigration,"['migration', 'agenda', 'partenariat', 'dialogue', 'homologue', 'rencontre', 'renvoi', 'mission', 'collaboration', 'marge']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
490,1,0.16,politique,politique,"['négociation', 'satisfaite', 'travail', 'périmètre', 'réunion', 'statu', 'long', 'niveau', 'taxe', 'contact']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
499,0,0.054,santé,immigration,"['test', 'phase', 'accélération', 'évaluation', 'asile', 'procédure', 'recours', 'restructuration', 'déroulement', 'rentabilité']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
500,13,0.121,immigration,immigration,"['centre', 'asile', 'départ', 'procédure', 'cadencé', 'exécution', 'renvoi', 'encadrement', 'accélération', 'occupation']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
505,3,0.062,société,immigration,"['naturalisation', 'formulation', 'mariage', 'partenariat', 'nationalité', 'invition', 'discrimination', 'civil', 'modification', 'principe']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
525,6,0.108,justice,justice,"['casier', 'extrait', 'donnée', 'autorité', 'protection', 'ordonnance', 'révision', 'sécurité', 'classement', 'totalité']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
528,6,0.111,justice,justice,"['casier', 'entreprise', 'création', 'antécédent', 'registre', 'extrait', 'juge', 'incriminé', 'récidiver', 'peine']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
529,6,0.12,justice,justice,"['casier', 'création', 'vue', 'entreprise', 'point', 'patte', 'récidive', 'corruption', 'jugement', 'image']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
537,6,0.144,justice,justice,"['casier', 'accusé', 'classement', 'peine', 'acte', 'auteur', 'coupable', 'exactitude', 'ordonnance', 'réparation']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
538,6,0.1,justice,justice,"['casier', 'registre', 'ouverture', 'précédente', 'punition', 'innocence', 'présomption', 'cours', 'condamnation', 'personnalité']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
552,5,0.076,finance,finance,"['réforme', 'imposition', 'référendum', 'timbre', 'adversaire', 'tonnage', 'entreprise', 'capital', 'statut', 'émission']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
559,5,0.088,finance,finance,"['impôt', 'fortune', 'capital', 'gain', 'valeur', 'taxation', 'entreprise', 'chaîne', 'référendum', 'imposition']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
574,5,0.08,finance,finance,"['allégement', 'plafond', 'déduction', 'capital', 'outil', 'impôt', 'introduction', 'box', 'délocalisation', 'perdant']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
577,5,0.089,finance,finance,"['box', 'recherche', 'impôt', 'plafonnement', 'allégement', 'développement', 'limitation', 'déduction', 'réduction', 'capital']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
579,17,1,autre,finance,"['commune', 'ville', 'considération', 'intérêt', 'réforme', 'prise', 'libellé', 'version', 'défense', 'compte']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
580,5,0.099,finance,finance,"['statut', 'ville', 'commune', 'réforme', 'vérité', 'gauche', 'potentiel', 'suppression', 'équilibre', 'recette']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
581,5,0.107,finance,finance,"['imposition', 'step', 'péréquation', 'réforme', 'ressource', 'impôt', 'potentiel', 'statut', 'commune', 'compensation']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
585,18,0.621,énergie,énergie,"['énergie', 'électricité', 'objectif', 'efficacité', 'économie', 'défaut', 'substitut', 'description', 'globalité', 'substitution']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
589,18,0.331,énergie,énergie,"['énergie', 'économie', 'électricité', 'courant', 'tournant', 'potentiel', 'consommation', 'dos', 'efficacité', 'centrale']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
593,18,0.58,énergie,énergie,"['électricité', 'matin', 'consommation', 'énergie', 'défi', 'objectif', 'collectivité', 'limitation', 'leitmotiv', 'polluante']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
594,18,0.518,énergie,énergie,"['consommation', 'électricité', 'augmentation', 'efficacité', 'appareil', 'ménage', 'niveau', 'matinée', 'charbon', 'prix']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
609,2,0.117,économie,économie,"['pme', 'plafond', 'fusion', 'faveur', 'cautionnement', 'entreprise', 'intervention', 'hérisson', 'resserrement', 'argumentation']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
615,12,0.174,formation,santé,"['ovule', 'thème', 'don', 'anonymat', 'délai', 'instrument', 'acte', 'procréation', 'travail', 'traitement']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
624,0,1,santé,santé,"['ordonnance', 'texte', 'médicament', 'maintient', 'abstention', 'motivation', 'remise', 'papier', 'principe', 'profession']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
628,2,0.178,économie,économie,"['rabais', 'produit', 'avantage', 'enrichissement', 'règlementation', 'clarté', 'impression', 'achat', 'champ', 'tiers']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
629,1,0.024,politique,politique,"['ristourne', 'signalement', 'livre', 'autorité', 'rabais', 'mention', 'souci', 'octroi', 'présent', 'document']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
631,0,1,santé,santé,"['chiropracticien', 'ordonnance', 'médicament', 'pharmacien', 'volontier', 'réunion', 'insécurité', 'rémunération', 'juillet', 'exécution']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
700,1,0.152,politique,politique,"['renvoi', 'compétence', 'partage', 'sphère', 'technique', 'ore', 'sentiment', 'explication', 'part', 'lecture']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
712,14,1,logement,logement-territoire,"['bâtiment', 'stratégie', 'symbole', 'reconstruction', 'rénovation', 'renforcement', 'centenaire', 'universalité', 'dossier', 'coeur']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
717,9,0.041,extérieur,extérieur,"['victoire', 'échec', 'diplomatie', 'contraste', 'crise', 'opiniâtreté', 'communauté', 'ambition', 'orchestre', 'intérieur']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
726,9,0.039,extérieur,économie,"['métier', 'capital', 'numérique', 'étape', 'désindustrialisation', 'vie', 'élément', 'ensemble', 'programme', 'objectif']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
728,9,0.1,extérieur,économie,"['numérique', 'négociation', 'amendement', 'formation', 'échange', 'négociateur', 'travailleur', 'service', 'migrant', 'relation']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
733,12,0.124,formation,extérieur,"['abstention', 'coopération', 'objectif', 'langue', 'dopage', 'égalité', 'action', 'version', 'hôte', 'plurilinguisme']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
737,3,0.016,société,société,"['enfant', 'maltraitance', 'professionnel', 'abus', 'signalement', 'secret', 'victime', 'moniteur', 'éducateur', 'médiateur']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
745,14,0.112,logement,logement-territoire,"['circulation', 'traité', 'contrat', 'représaille', 'extension', 'février', 'appartement', 'soir', 'bail', 'recherche']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
747,1,0.258,politique,politique,"['histoire', 'arrêté', 'abstention', 'préambule', 'occurrence', 'référence', 'février', 'relation', 'peuple', 'cause']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
749,1,0.15,politique,politique,"['esprit', 'abstention', 'vue', 'amendement', 'endroit', 'extension', 'point', 'circulation', 'arrêté', 'attention']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
754,6,0.123,justice,société,"['victime', 'injustice', 'coercition', 'réparation', 'foyer', 'souffrance', 'placement', 'maltraité', 'terrible', 'humilié']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
775,3,0.319,société,société,"['paternité', 'congé', 'perte', 'apg', 'immeuble', 'présentation', 'versement', 'indemnité', 'imposition', 'régime']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
783,3,1,société,société,"['adoption', 'enfant', 'parent', 'conjoint', 'descendant', 'vigueur', 'partenariat', 'consentement', 'vie', 'adoptant']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
784,3,0.058,société,société,"['enfant', 'adoption', 'filiation', 'parent', 'mariage', 'couple', 'lien', 'partenariat', 'discriminatoire', 'confort']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
793,3,0.518,société,société,"['couple', 'mariage', 'enfant', 'union', 'adoption', 'conjoint', 'stabilité', 'institution', 'divorce', 'lien']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
801,12,0.049,formation,formation-recherche,"['recherche', 'service', 'adoption', 'origine', 'résidence', 'relation', 'gratuite', 'mandater', 'étranger', 'heure']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
827,13,0.43,immigration,immigration,"['réfugié', 'asile', 'statut', 'euro', 'préopinant', 'parcours', 'traité', 'crise', 'nombre', 'flèche']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
850,9,0.139,extérieur,extérieur,"['paix', 'négociation', 'processus', 'gouvernement', 'accompagnement', 'démobilisation', 'office', 'réintégration', 'contexte', 'interaction']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
855,13,0.037,immigration,immigration,"['libéralisation', 'visa', 'critère', 'obligation', 'homme', 'immunité', 'réadmission', 'forum', 'dégradation', 'feuille']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
864,17,0.064,autre,politique,"['ville', 'commune', 'reconnaissance', 'leurre', 'mensonge', 'impôt', 'tâche', 'précédent', 'préavis', 'compétence']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
869,2,1,économie,économie,"['tonnage', 'taxe', 'chargeant', 'excuse', 'opposant', 'remarque', 'formulation', 'milieu', 'occasion', 'conclusion']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
879,7,0.219,armée,armée-sécurité,"['retard', 'armée', 'aspect', 'point', 'défi', 'personnel', 'contrôle', 'gestion', 'ordre', 'transition']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
892,0,0.008,santé,santé,"['base', 'interprofessionnalité', 'santé', 'main', 'papier', 'oeuvre', 'jour', 'étude', 'possibilité', 'part']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
900,1,1,politique,formation-recherche,"['participation', 'protocole', 'recherche', 'ratification', 'obstacle', 'critère', 'avenir', 'programme', 'réglementation', 'conditionnalité']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
917,3,0.237,société,économie,"['pétition', 'séance', 'entreprise', 'label', 'catalogue', 'certificat', 'famille', 'intervention', 'pénurie', 'novembre']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
920,12,0.127,formation,formation-recherche,"['formation', 'croissance', 'école', 'recherche', 'innovation', 'message', 'moyen', 'économie', 'décalage', 'encouragement']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
926,12,1,formation,formation-recherche,"['innovation', 'formation', 'recherche', 'croissance', 'économie', 'moyen', 'prioritaire', 'minimum', 'défi', 'sacrifié']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
936,12,0.188,formation,formation-recherche,"['bilingue', 'décalage', 'langue', 'concept', 'coopération', 'formation', 'message', 'révision', 'faveur', 'fin']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
941,11,0.123,travail,emploi,"['frontalier', 'indemnisation', 'domicile', 'cotisation', 'mois', 'balance', 'prestation', 'nationalité', 'demandeur', 'résidence']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
952,11,0.183,travail,emploi,"['mars', 'travail', 'contrat', 'marché', 'type', 'travailleur', 'trouvant', 'abus', 'abstention', 'caractère']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
955,5,0.176,finance,finance,"['réforme', 'ville', 'compromis', 'déduction', 'sacrifice', 'départ', 'commune', 'entreprise', 'substance', 'société']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
962,5,0.181,finance,finance,"['preuve', 'impôt', 'facture', 'facturée', 'chaîne', 'vraisemblance', 'atténuation', 'fardeau', 'préjudice', 'sécurité']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
981,4,0.031,agriculture,agriculture-faune,"['financement', 'vache', 'lait', 'surtaxe', 'huile', 'agglomération', 'centime', 'trafic', 'route', 'partisan']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
982,15,0.105,transport,transport,"['financement', 'vignette', 'surtaxe', 'mobilité', 'centime', 'consensus', 'agglomération', 'route', 'rail', 'relèvement']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
988,15,0.008,transport,transport,"['filiale', 'rentabilité', 'activité', 'argent', 'étranger', 'affaire', 'chiffre', 'transport', 'épluché', 'croissance']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
989,18,0.106,énergie,énergie,"['énergie', 'approvisionnement', 'électricité', 'système', 'aménagement', 'étape', 'environnement', 'territoire', 'indigène', 'scepticisme']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
993,8,0.009,écologie,écologie,"['déchet', 'amende', 'modification', 'environnement', 'abandon', 'protection', 'quart', 'ramassage', 'réfrigérateur', 'quantité']",émission - eau - objectif - biodiversité - zone - pesticide - surface - climat - produit - réduction
1006,7,0.292,armée,armée-sécurité,"['altitude', 'drone', 'satellite', 'enjeu', 'surveillance', 'mètre', 'savoir', 'entreprise', 'millier', 'orbite']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
1007,13,1,immigration,immigration,"['frontière', 'contrôle', 'danger', 'sécurité', 'système', 'concitoyen', 'effectif', 'géographe', 'rêveur', 'espace']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
1013,13,0.086,immigration,immigration,"['procédure', 'ressortissant', 'asile', 'demande', 'heure', 'migration', 'manoeuvre', 'marge', 'objet', 'place']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
1016,3,0.292,société,société,"['allocation', 'lacune', 'enfant', 'parent', 'universalité', 'maternité', 'mère', 'maladie', 'domicile', 'salarié']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
1019,13,0.17,immigration,immigration,"['autorité', 'prestation', 'échange', 'donnée', 'révocation', 'perception', 'ressortissant', 'séjour', 'actualité', 'exécution']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
1037,5,0.069,finance,finance,"['imposition', 'dividende', 'déduction', 'intérêt', 'compromis', 'réforme', 'timbre', 'perte', 'entreprise', 'baisse']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
1050,6,0.133,justice,justice,"['infraction', 'casier', 'auteur', 'passé', 'principe', 'société', 'trace', 'prison', 'personnalité', 'enquête']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
1051,1,1,politique,politique,"['ratification', 'circulation', 'traité', 'protocole', 'recherche', 'condition', 'autorisation', 'référendum', 'conclusion', 'arrêté']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
1059,1,0.373,politique,économie,"['ouverture', 'horaire', 'extension', 'commerce', 'fédéralisme', 'heure', 'détriment', 'argument', 'détail', 'reprise']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
1089,21,0.145,loisirs,manifestation-loisirs,"['jeu', 'texte', 'prévention', 'intérêt', 'outil', 'milieu', 'expert', 'objection', 'pesée', 'expertise']",sport - jeu - manifestation - élite - casino - joueur - fédération - soutien - club - sportif
